File Version;BWSpec4.02_14
Date;2020-06-04 11:45:00
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;1
yaxis_min;-128
yaxis_max;60000
xaxis;1
xaxis_min;204
xaxis_max;2047
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;10
overlay_js;0
Relative Intensity Correction Flag;0
160;   ;   ;   ;959,0000;65535,0000;28467,0000;27508,0000;0,0000;0,0000;0,0000;
161;   ;   ;   ;1031,0000;65535,0000;28505,0000;27474,0000;0,0000;0,0000;0,0000;
162;   ;   ;   ;1043,0000;65535,0000;28577,0000;27534,0000;0,0000;0,0000;0,0000;
163;   ;   ;   ;967,0000;65535,0000;27868,0000;26901,0000;0,0000;0,0000;0,0000;
164;   ;   ;   ;1007,0000;65535,0000;28080,0000;27073,0000;0,0000;0,0000;0,0000;
165;   ;   ;   ;1014,0000;65535,0000;27643,0000;26629,0000;0,0000;0,0000;0,0000;
166;   ;   ;   ;1037,0000;65535,0000;26637,0000;25600,0000;0,0000;0,0000;0,0000;
167;   ;   ;   ;1055,0000;65535,0000;26731,0000;25676,0000;0,0000;0,0000;0,0000;
168;   ;   ;   ;1063,0000;65535,0000;26249,0000;25186,0000;0,0000;0,0000;0,0000;
169;   ;   ;   ;1045,0000;65535,0000;25893,0000;24848,0000;0,0000;0,0000;0,0000;
170;   ;   ;   ;1046,0000;65535,0000;25707,0000;24661,0000;0,0000;0,0000;0,0000;
171;   ;   ;   ;1083,0000;65535,0000;25827,0000;24744,0000;0,0000;0,0000;0,0000;
172;   ;   ;   ;971,0000;65535,0000;25968,0000;24997,0000;0,0000;0,0000;0,0000;
173;   ;   ;   ;978,0000;65535,0000;25742,0000;24764,0000;0,0000;0,0000;0,0000;
174;   ;   ;   ;1003,0000;65535,0000;25508,0000;24505,0000;0,0000;0,0000;0,0000;
175;   ;   ;   ;994,0000;65535,0000;25205,0000;24211,0000;0,0000;0,0000;0,0000;
176;   ;   ;   ;1010,0000;65535,0000;25160,0000;24150,0000;0,0000;0,0000;0,0000;
177;   ;   ;   ;1011,0000;65535,0000;24681,0000;23670,0000;0,0000;0,0000;0,0000;
178;   ;   ;   ;955,0000;65535,0000;24752,0000;23797,0000;0,0000;0,0000;0,0000;
179;   ;   ;   ;1194,0000;65535,0000;23923,0000;22729,0000;0,0000;0,0000;0,0000;
180;   ;   ;   ;1029,0000;65535,0000;23533,0000;22504,0000;0,0000;0,0000;0,0000;
181;   ;   ;   ;1009,0000;65535,0000;23159,0000;22150,0000;0,0000;0,0000;0,0000;
182;   ;   ;   ;1018,0000;65535,0000;22510,0000;21492,0000;0,0000;0,0000;0,0000;
